Simple Viewport Shading (ms);Material Viewport Shading (ms)
7.85050006;24.55460001
10.25469997;23.01230002
9.3872;21.52499999
10.70520002;26.88530006
8.06759996;25.95859999
7.83020002;22.61499991
10.1951001;25.97339998
7.81589991;23.03469996
14.03069997;22.53720001
9.76619998;24.34329991
12.5372;24.77899997
8.20329995;27.79179998
10.68980002;24.90119997
9.7979001;24.87150009
11.10910007;23.67490006
9.16639995;26.38110006
8.90460005;25.20499995
7.83389993;23.69830001
11.74729993;26.6946
10.46619995;24.36600009
8.66339996;23.61809998
10.473;25.37769999
11.01140003;23.99210003
9.30459995;24.90440011
10.99149999;22.57529995
9.10170004;23.25480001
7.40090001;25.60950001
7.64740002;23.06160005
11.17939991;22.28679997
10.3501;27.01620001
10.49699995;21.7993001
8.67030001;22.55280002
8.67220003;24.15459999
8.85839993;23.68710004
7.80130003;24.31380004
11.67100004;23.53350003
11.4664;25.00299993
10.3983999;22.02330006
9.40650003;25.07089998
8.03230004;22.903
10.68390009;22.11200004
9.82299994;22.80739998
7.01240008;21.94100001
8.55899998;24.93870002
9.26700002;20.8998
9.48439992;25.14100005
9.1423;25.65219998
8.88480002;24.39160005
9.57870006;21.80959994
11.25780004;23.41869997
10.29849995;25.23850009
11.00409997;21.17769991
9.51550005;25.00809997
10.0754;23.73180003
8.73380003;21.13770007
9.78980004;24.50599999
12.94219994;26.13199991
10.40859998;24.77330004
8.66619998;25.71770002
10.51529997;20.75619996
11.37550001;26.64689999
8.58879997;25.82850005
9.46510001;25.80410009
9.40930005;23.91059999
8.82600003;22.83290005
8.07859993;20.82440001
9.4022;20.72689997
8.8501001;23.02849991
10.17809997;23.24279991
9.77150002;23.4379
15.56849992;22.69719995
11.06330007;24.70950002
13.93129991;24.84209999
10.03340003;25.79630003
10.3657;22.80999999
8.82720004;25.65039997
13.73630005;24.98569991
10.94159996;22.68719999
10.53079998;20.8532
9.14149999;25.12550005
10.75270004;23.55719998
9.29160009;26.85010002
9.61189996;22.50399999
8.95130006;26.18599997
10.57719998;22.76720002
10.25579998;21.85690007
9.26920003;24.46590003
8.05279997;23.21969997
10.38029999;22.93690003
8.58799997;23.31830002
8.53290001;24.34290003
10.54769999;25.06349992
9.94090002;24.11779994
10.44360001;22.10189996
10.09350002;23.47909997
10.05339995;24.82669998
9.5886999;22.64580003
8.19969992;22.99289999
11.09009993;26.19869995
9.56729997;26.91259992
9.6627;24.94709997
9.87469999;23.33370002
9.19599994;22.10130007
11.54630003;24.30689998
8.40539997;26.80920006
20.00270004;24.23089999
8.52929999;23.92309997
8.34840001;25.1961
11.29459997;24.46460002
13.821;24.32860003
12.996;22.83759997
11.03920001;23.29330007
14.00600001;24.45249993
8.23439995;26.18380007
13.64149991;25.09410004
9.91180004;23.67030003
9.98219999;23.87090004
12.4619999;23.59620004
9.65899997;22.00909995
10.08629997;22.65239996
9.402;23.17189996
8.33980006;23.76380004
9.53599997;22.52440003
12.98410003;25.35170002
8.24390003;23.20679999
10.03339991;25.11709998
10.75010002;25.79320001
11.11209998;22.12879993
7.66440004;24.66719993
9.71180003;25.25539999
9.39300004;24.46059999
8.38780007;23.15399994
10.91570011;24.66530004
10.75869997;25.7924
9.68390005;25.1339
9.55239998;24.7212
14.51770007;24.15289998
9.74630006;24.24920001
10.8682001;22.34689996
7.94580008;21.99669997
9.08870006;21.76209993
12.41770003;28.8497
9.12439998;22.12089999
9.23700002;23.8349
9.90150007;24.88509996
7.92439992;24.29760003
12.57400005;25.29859997
7.99969991;26.82959998
9.79629997;24.0037
10.01980004;23.08700001
9.04530007;21.65150002
10.46719996;23.76999997
10.8248;23.3307
9.3563;23.21580006
10.34219994;24.20109999
9.91989998;22.81909995
8.44460004;22.19120006
10.11089992;24.91249994
8.02130008;22.53900003
8.55479995;25.06210003
10.41530003;21.50190005
7.6751;23.14620011
10.90480003;24.6153
13.33730004;25.34380008
16.20050007;23.24909996
7.67570001;23.58410007
7.98559992;25.33980005
9.65060003;25.45710001
11.87339996;22.92620006
7.88149994;24.11160001
9.28200001;23.46409997
8.88720003;20.3804
9.01359995;25.23849998
8.23720009;25.31729999
10.36379999;23.82460004
7.86779996;25.63140006
9.6797999;24.56629998
7.8127;24.17459991
10.94790001;24.49540002
12.13229995;21.31550002
8.75459996;24.77540006
8.2869;20.57459997
10.23690007;22.25829998
9.79629997;22.40880008
9.28539992;24.37919995
10.66190004;25.10149998
9.47460008;22.83600008
10.1673;22.62499998
9.16020002;24.07499996
9.11290001;25.95819999
9.20229999;23.72280008
7.97739998;22.00150001
9.51410003;25.22149996
8.67439993;25.17060004
14.13780008;22.4131
9.23760002;22.79009996
7.56900001;23.8652
8.52369994;22.43060002
8.29209993;23.36660004
9.56969999;24.77200003
9.20679991;22.84370002
9.83400003;24.70349998
9.81900003;23.57329999
10.33640001;22.48200006
15.5947;25.47920006
10.23569994;23.3765
7.07259995;24.59389996
9.93170007;25.5931
9.42380005;24.81079998
9.56710009;23.23469997
12.73229998;24.31969997
14.17700003;22.87890005
18.64129992;20.98260005
8.38209991;23.35040004
11.46020007;22.81779994
12.75420003;26.87629999
15.26470005;24.4921
10.59029996;25.23769997
10.00240003;23.70300004
8.86239996;25.43289994
10.57619997;24.62919999
10.72950009;25.31109995
7.74849998;24.43770005
10.92260005;22.31939998
9.39450006;24.7956001
9.04159993;25.12899996
8.88490002;25.94860003
11.86890004;24.55930004
9.27819998;24.02789996
7.7366;24.47819989
10.6253;23.33649993
15.24169999;23.53020001
10.69660007;24.39939999
9.44389997;26.73370007
10.04369999;25.72770009
8.15010001;23.85939995
8.73379991;25.5322
10.05420007;24.02649994
9.90629999;25.40090005
8.7893001;25.01089999
12.06370001;25.27079999
8.05379997;22.85399998
9.4938;25.34139995
9.48010001;26.07230004
11.68480003;26.29139996
10.21510002;25.20420006
9.36379994;22.5511
8.86150007;23.93460006
7.6755;22.26569992
13.45480001;23.99090002
9.77160002;24.18239997
15.7628;22.30140008
7.40359991;25.89780011
9.08059999;25.37330007
12.05410005;21.15769999
11.2366;25.22990003
9.93359997;25.04779992
8.95749999;23.58379995
11.76309993;25.64490004
10.03240002;23.67080003
12.83130003;26.48830006
13.84190004;24.57640006
7.996;23.21960009
9.77960008;22.89989998
9.8455;24.11599993
10.39180008;24.30469997
10.04940004;21.42060001
8.32289993;25.28129995
11.96270005;25.76940006
9.22070001;24.7825
10.59129997;24.63449992
9.42330004;26.48989996
8.41740007;26.49730002
9.68760008;23.35379994
9.18599998;24.83949997
8.85500002;25.69390007
12.40929996;25.5189999
11.07729995;21.46650001
13.35810008;24.32219998
8.48950003;24.63650005
11.57209999;22.46440004
8.16920004;23.16630003
10.75799996;24.10690009
7.83969997;21.48459991
8.98020004;22.65329997
8.77449999;22.28160005
8.22830002;23.59190001
14.09159997;22.60160004
14.8459;23.0572999
11.53479994;23.43830001
9.32310009;23.01329991
9.45200003;24.16640008
10.0451;24.33439996
9.81459999;23.16950005
8.12390004;25.65169998
7.34939997;29.66140001
9.9861999;23.70330004
10.20890009;23.08860002
11.11610001;25.20049992
9.38080007;23.54119997
11.18809998;26.67280007
7.919;25.56600003
9.82689997;24.60769995
10.4417;22.92890009
11.30580006;23.74109998
10.54609998;25.95719998
10.17879997;24.73519999
9.8148;24.18029995
7.5400999;23.58359995
10.48030006;24.43680004
7.79810001;24.62579997
10.55919996;25.78589995
9.2949;23.21669995
7.42499996;23.88170001
8.4394;25.593
9.84489999;22.78550004
8.9895;23.53150002
9.33899998;22.0613
9.82130005;22.98710006
10.09450003;24.03939993
10.24670003;25.6081
9.43650003;24.62929999
10.25419997;21.57790004
8.56490002;26.55720001
8.71599989;25.78659996
7.58159999;26.46620001
11.1296;24.35010008
9.23059997;26.60139999
10.24129998;22.8102
10.9450001;27.76490001
11.01149991;23.99730007
8.35040002;24.64129997
9.3718;25.25220008
12.81980006;24.60580005
9.62619996;24.28270003
16.16619993;24.89500004
9.88529995;22.719
10.16119996;27.05050004
13.91400001;22.68470009
11.13369991;23.02620001
9.95889993;24.06910004
9.15469998;26.17680002
8.63419997;22.78749994
11.51410001;26.68729995
11.13270002;24.19540007
9.37620003;21.53089992
10.5338;26.74909995
9.52119997;24.5821001
11.41430007;23.64869998
9.10549995;22.63310004
8.24569992;23.72170007
9.59399994;20.65730002
9.37430002;24.34439992
10.16059995;25.12729994
9.16549994;26.18329995
13.8968;23.85779994
9.72750003;24.91369995
8.62730003;23.24819996
8.77990003;26.15450008
7.81889993;22.49550004
8.85430002;24.37430003
8.58110003;24.95680004
9.98920004;24.68620008
8.58449994;25.71329998
7.37419992;25.05040006
7.96329998;23.85140001
10.08689997;23.41570007
8.35529994;24.01070006
9.94799996;24.95729993
14.75949993;26.8779
13.80229997;24.50850001
19.09080008;20.14769998
12.29759993;24.04769999
10.43120003;21.87340008
14.77000001;27.74189995
12.01190008;23.90800009
12.1541;25.24439991
9.97279992;22.826
8.97600001;22.74879999
9.62969998;21.37770003
14.09529999;21.55820001
10.78919997;24.21639999
11.92029996;23.55509996
7.34070002;23.29119993
8.14509997;23.02750002
14.08250001;24.63430003
11.25420001;25.72020004
12.19899999;26.28589992
10.80539997;23.31630001
10.8094;22.37350005
8.00499995;21.5262
8.7599;24.48019991
9.6454001;24.97229993
7.27180007;28.16470002
13.16050009;25.76669992
10.43090003;25.77240008
9.36230004;27.17740007
10.09320002;25.97429999
8.54009995;25.7155
9.68569994;27.89829997
10.18590003;22.98229991
9.035;23.78120006
10.243;24.80730007
10.44620003;25.55399993
10.16049995;22.89289993
8.41709995;26.25970007
9.76699998;23.26089994
18.30130001;19.47419997
8.12979997;24.94370006
9.92159999;26.82550007
9.69149999;24.93489999
11.79320004;23.81749998
9.13299993;23.48199999
10.25300007;22.36020006
12.71839999;26.13140002
10.35210001;24.34819995
9.27569997;24.78390001
7.83590006;21.38799999
9.44319996;26.66989993
11.07400004;26.03589999
8.61130003;24.98560003
9.63660004;24.72580003
8.4525001;26.43770003
8.67170002;25.1502
9.71050002;24.48820008
10.66169993;27.81789994
12.17969996;25.2721
8.67519993;24.72019999
9.48470004;22.29599992
7.88229995;24.90210009
11.34129998;24.92839994
9.6929;23.98589998
10.52969997;24.61129997
11.68510003;22.29619992
10.80829999;23.62730005
9.07419994;23.34089996
9.4791;25.75470007
9.04230005;23.33819994
9.44320008;21.17189998
9.64599999;23.90550007
7.42509996;23.36939995
10.53840003;22.71150006
7.99519999;24.65709997
9.86600004;23.57840003
10.67569992;23.70200003
9.48520005;23.78129994
8.52449995;24.03610002
7.7362;21.92470001
9.52550001;25.29209992
9.75500001;24.62570008
9.22190002;22.35830005
9.60430002;24.9821
8.18200002;21.8164
9.25570005;23.72180007
9.71369992;25.23120004
34.22419995;25.87669995
9.70679999;27.02489996
7.90680002;22.19260007
10.07379999;17.40040001
8.88960005;24.73439998
7.27270008;23.07780006
11.93330006;23.24570005
11.59179991;22.45499997
9.19979997;26.64539998
10.40420006;24.9354
8.00769997;23.83890003
9.70539998;23.14230008
8.05120007;27.18939993
11.12580008;23.43129995
10.72470006;23.37139996
10.67400002;25.4247
10.63340006;23.68470002
10.60340006;25.7917
8.59420002;26.47579997
10.07249998;24.69599992
7.41189998;23.64870009
8.89020006;20.2424
11.33540005;24.38030008
8.15579994;23.41969998
11.68899995;23.34329998
8.42620002;22.99930004
9.27829999;21.36130002
9.44499997;23.30479992
7.58950005;23.55090005
10.68560011;26.64290008
9.87760001;22.58230001
8.17789999;23.49589998
8.7449;22.35059999
9.24229994;23.66139996
8.61320004;22.86439994
10.25999989;21.99400007
8.83469998;23.5442
11.13270002;25.60459997
10.38610004;25.22960003
10.28060005;25.50560003
11.41040004;23.4064
9.48230003;24.89350003
7.29919993;24.36010004
9.87429998;25.6848
9.31650004;21.8165
13.50460004;22.64560002
10.61859995;24.30160006
8.317;24.17639992
9.85300005;26.25819994
9.5711;22.95459993
12.05510006;24.15149997
18.8656;22.49590005
12.46460003;25.71169997
8.0418;26.91959997
12.38680002;24.27539998
11.63339999;23.46900001
12.4605;21.7859
9.57849994;24.28229991
10.49110002;26.28870006
14.00909992;24.71580007
11.08229998;22.72500005
8.4545;23.48229999
12.25100004;22.80469995
11.85690006;21.84679999
8.15439993;24.4161
8.33370001;25.17769998
10.39419998;26.50399995
8.06709996;22.47979993
8.4396;22.66060002
9.84329998;24.93289998
8.62380001;25.90740006
12.05879997;26.04450006
9.08029999;25.14809999
9.80120001;20.62940004
10.26540005;21.7556
8.34039995;23.29460008
8.59350001;22.55660004
12.25249993;26.57739993
8.65899993;24.31500005
9.14490002;25.51359998
9.90269997;23.26759999
8.57159996;22.99909992
10.46050002;26.05049999
10.9164;24.00590002
9.30290006;24.0489
10.73879993;23.48149999
10.69720008;23.01120001
11.51350001;25.11169994
8.39189999;24.3393
10.56939992;23.48750003
9.46789992;22.95689995
8.38040002;23.93519995
17.2307;24.08620005
11.75079995;23.82060001
8.38840008;23.53220002
10.7172;22.50600001
14.68349993;23.63389998
12.50690001;24.37280002
12.88499997;24.46290001
14.97880009;25.70110001
12.29390001;25.65710002
11.85859996;25.68209998
10.47530002;24.00229999
11.03759999;25.02890001
8.4412999;24.57639994
11.13699994;25.69290006
11.16990007;26.60919994
10.5792;24.67049996
10.03730006;22.49960008
7.94110005;24.85019993
11.23539999;23.50589994
14.04210005;25.10009997
10.94239997;25.94289999
9.4173;22.93540002
10.10389999;22.73119998
8.10570002;24.43720005
9.91579995;25.72080004
8.85089999;24.90249998
9.36609996;24.31210002
8.75379995;20.83549998
7.98899995;24.79349996
8.64649995;24.20009999
9.7691;25.74469999
9.72019997;24.87040008
8.23520008;24.89809995
7.73090008;24.97620007
11.30129991;22.26830006
9.17139999;26.021
8.43449996;22.11380005
10.64360002;21.1441
11.28989994;24.23540002
12.21329998;24.39769998
16.30219992;22.45089994
9.34390002;26.9536
7.48180004;24.69260001
11.86100009;24.83530005
12.95310003;25.0734
8.89689999;27.58909995
7.96030008;24.18379998
9.08810005;24.45419994
8.89489998;24.94229993
8.71869992;24.43749993
8.43549997;23.73509994
9.67379997;21.93779999
9.79300006;26.13920008
9.59440006;23.73820008
11.29539998;23.3002
10.12360002;25.35459993
9.3722;25.64020001
10.4425;25.59959993
10.91219997;24.02559994
12.87430001;21.36180003
9.72600002;25.93779995
11.35539997;24.48169992
7.91359995;24.8132
8.95589998;25.34089994
12.3842;26.65379993
7.90099998;19.83869995
8.55289993;23.21849996
11.62280003;27.38990006
7.9201;27.6265
11.93359995;26.74690005
9.56869998;27.90550003
9.69620002;21.10939997
8.65619991;23.18149991
9.20229999;26.51840006
10.76390001;25.00350005
7.64750002;22.68529998
8.27390002;24.50289996
10.52380004;23.7438
9.79340007;22.27369999
9.71459993;22.1702999
15.30929992;25.61170002
13.5475999;21.86839993
11.41020004;23.98319996
8.97869992;25.45199997
14.22269992;25.3003001
11.29149995;26.17830003
10.79039997;24.14490003
20.99420002;26.36690007
11.05859992;24.91769998
7.48819998;23.38549995
15.79749992;24.88030004
10.07860003;27.37989998
11.60480001;25.0434
10.37629996;24.88639997
11.4036001;26.65490005
9.46480001;23.26759999
9.71050002;25.20209993
10.25749999;25.42969992
8.96369992;23.32260006
10.33139997;24.37180001
8.13640002;25.93809995
8.98159994;24.29620002
10.03060001;24.385
8.79920006;24.37160001
10.24430001;25.27989994
8.95220006;27.37539995
10.44969994;25.03400005
12.48529996;22.87069999
10.61599993;25.60359996
9.62180004;24.34759995
16.14789991;25.17639997
8.19389999;25.17709997
11.26990002;26.43229999
7.71609996;24.85749999
8.22029996;23.14279997
8.8822;23.78159994
8.71739991;26.62160003
8.91900004;25.3768001
8.88350001;24.55039998
10.44709992;23.94730004
9.05470003;23.12380006
9.82729997;23.0228001
10.97070007;25.05729999
13.12779996;23.03619997
16.5272;25.23050003
13.71179998;25.0273
8.65019998;24.83409992
13.53330002;27.61540003
10.20489994;25.69360007
13.2729999;25.52509995
12.12460001;25.52160004
13.63200007;27.04720001
10.29290003;24.52910005
14.50229995;26.68300003
9.6623;22.14180003
8.62790004;21.56710008
11.86800003;22.12109999
12.31439994;26.07350005
9.57629993;24.84159998
8.58330005;22.23060001
9.71389993;24.56189995
9.4176;25.66260006
10.20459994;21.20309998
7.80310004;23.10919994
8.76290002;23.65460002
8.84530006;20.8534
9.372;24.75440002
9.21360007;23.62590004
9.37560003;22.83340006
10.34270006;24.4295001
8.81579996;22.8262
7.70349998;24.47319997
8.46260006;23.81869999
8.69250007;24.20610003
10.72709996;26.12609998
9.78109997;24.16919998
7.71970011;24.67349998
10.55230002;23.41490006
14.04809998;22.96780003
11.86980004;25.06400004
9.56169993;25.28289997
9.82759998;26.41659998
9.95899993;26.73400007
13.02970003;21.82920009
9.69930005;27.44530002
12.8099001;26.07359993
9.66830004;23.35559996
8.66709999;24.69929995
10.13239997;22.82770001
9.79110005;26.41679998
11.04590006;25.13199998
12.80879998;26.93399996
50.20149995;26.0513
8.70760006;25.26290005
8.23759998;20.37029993
9.43560002;23.46379997
9.25599993;25.71670001
9.4305001;25.50970006
10.09860006;25.07779992
8.96000001;23.15189992
10.36119997;23.89690001
10.65950003;26.91979997
8.91189999;27.52990008
9.77940008;23.01690006
8.04660004;23.0556
9.19590006;24.92790006
8.11569998;23.99259992
8.62360001;23.14790001
8.69230006;25.52269993
10.02739999;22.00980007
9.43420001;25.52550007
9.76360007;23.52449996
8.26719997;28.12150004
9.28240002;22.62379997
9.48379992;23.34169997
7.42199994;22.77159994
8.9597;25.97920003
8.4548;25.06289992
10.93019999;24.28909997
8.95659998;22.52530004
8.33390001;24.47810001
10.32080001;28.81759999
7.70429999;24.76830001
9.54190001;25.26469994
9.97060002;25.58370004
10.73680003;24.61880003
9.12970002;25.37749999
15.4247001;27.82409999
11.69070008;23.81889999
11.5892;22.00460003
8.06700008;25.18210001
9.45710007;23.04689994
11.65829995;21.36299992
7.33030005;23.88210001
11.42220001;25.40130005
14.68729996;24.04980001
14.31810006;24.75149999
9.69630003;26.3856001
10.63689997;23.69029995
10.35140001;21.52810001
8.86130007;21.83029999
12.05789996;24.02769995
11.49399998;22.65980002
10.10439999;23.2389
9.67639999;27.73730003
8.25760001;20.31479997
11.77350001;25.31229996
8.10950005;25.38300003
9.42609995;26.52690001
7.93690002;24.75710004
9.5425999;23.48989993
8.10380001;23.83339999
9.01409995;23.33200001
10.20759996;26.08690003
8.48329999;23.26200006
10.23810008;26.00230009
9.15870001;21.50040003
8.66169995;28.08730002
8.08409997;24.04220006
8.98140005;22.78090001
8.66119994;22.40159991
9.21109994;20.87719995
8.66339996;22.72220002
9.54989996;25.52609995
9.0381999;24.68789998
